tripID,2901,1177,1179,2192,2734,1141,1143,2738,2480,2209,2481,1182,1183,1185,2714,2491,1095,1084,1086,1006,2433,2436,1015,2195,1020,2196,2197,1026,2198,2265,2576,2226,1113,1110,2227,2453,1105,2228,1101,2434,2407,2655,2224,2413,2724,2414,2381,2470,1092,1144,1142,1139,1137,2204,2205
750103,24,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,3,10,5,5,16,5,0,0,4,0,0,0,0,1,0,0,4,1,0,0,0,0
750104,18,0,0,0,1,0,0,0,0,0,0,10,0,0,2,2,0,0,0,4,0,0,0,2,17,0,0,0,0,0,5,15,4,9,0,1,8,2,1,7,8,1,0,4,2,0,1,0,2,1,1,4,0,0,0
750303,23,0,0,0,1,2,6,4,5,0,0,0,0,0,0,0,2,0,1,1,0,0,1,8,5,0,0,0,1,0,0,8,1,19,11,12,5,1,0,2,3,2,0,1,2,7,0,4,0,2,3,5,1,0,0
750204,45,1,0,7,3,3,3,0,5,0,1,1,0,2,1,0,2,2,1,14,4,0,2,0,2,0,0,0,1,2,2,4,3,10,8,12,9,0,0,0,10,1,0,7,6,8,1,0,0,8,6,5,0,0,0
750107,47,0,0,1,7,0,2,0,5,0,0,0,0,0,0,1,0,1,3,7,1,0,4,0,3,2,0,0,9,0,5,2,0,3,5,5,5,2,2,0,3,1,1,0,1,4,0,0,0,5,4,1,0,0,0
750306,43,2,0,0,3,5,1,1,5,1,2,0,0,0,1,0,1,0,2,10,1,0,0,0,0,0,0,0,6,3,3,6,1,4,7,3,0,6,3,0,12,0,0,0,0,6,0,0,0,4,6,3,2,0,0
750207,58,2,0,0,6,9,5,1,5,0,0,0,0,1,2,0,0,3,3,15,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,4,7,1,3,0,10,2,6,1,8,1,0,0,0,10,2,2,0,0,0
750110,58,1,0,4,14,11,11,1,8,0,0,1,0,1,2,3,3,0,2,17,1,0,0,0,0,0,0,1,1,1,2,4,0,2,3,4,6,0,2,0,10,5,1,1,2,8,1,0,0,8,4,0,0,0,0
750309,25,0,0,0,5,6,7,0,5,0,0,0,0,2,0,0,3,0,1,18,0,0,0,0,0,0,0,1,0,0,2,4,1,4,2,2,0,1,1,2,0,3,0,1,2,1,0,0,0,20,4,0,0,1,0
750310,41,0,4,2,8,10,14,1,2,1,0,0,0,0,0,0,0,2,1,21,0,3,0,0,0,0,0,0,0,0,3,0,0,1,0,4,3,3,0,0,0,0,0,0,4,0,0,1,2,3,1,1,0,0,0
790113,57,3,0,0,1,4,4,2,5,0,0,0,0,0,0,0,0,0,1,14,1,0,0,0,0,0,0,0,0,0,6,0,0,1,0,1,0,0,0,0,3,0,0,0,4,1,0,0,0,2,4,1,0,0,0
790114,40,3,0,0,4,9,16,0,2,0,0,1,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,3,0,2,6,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,2,1,1,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750103,1.263157895,0.631578947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.210526316,0,0,0,0,0,0,0.210526316,0,0.157894737,0.526315789,0.263157895,0.263157895,0.842105263,0.263157895,0,0,0.210526316,0,0,0,0,0.052631579,0,0,0.210526316,0.052631579,0,0,0,0
