1263, 660403, 2,
1263, 660405, 1,
1266, 690301, 1,
1266, 660405, 1,
1269, 350101, 4,
1269, 660104, 1,
1269, 660210, 1,
1288, 660403, 1,
1288, 350310, 1,
1288, 660510, 1,
1457, 660206, 1,
1687, 690301, 1,
1687, 350504, 1,
1687, 660506, 1,
1690, 690301, 1,
1690, 660104, 1,
1690, 350508, 1,
1692, 660104, 1,
1796, 660403, 1,
1796, 660405, 1,
1798, 660302, 1,
1799, 690301, 1,
1799, 660403, 1,
1899, 660206, 1,
1903, 660403, 3,
1903, 350310, 4,
1903, 660405, 1,
1903, 660510, 1,
1917, 350101, 1,
1917, 660104, 1,
1917, 660302, 3,
1917, 350508, 1,
1919, 350101, 1,
2159, 660104, 1,
2159, 660504, 1,
2159, 660510, 1,
2161, 660104, 2,
2161, 350504, 1,
2161, 660206, 1,
2163, 660302, 2,
2167, 660302, 2,
2167, 660210, 1,
2167, 350310, 1,
2167, 660405, 1,
2167, 660504, 3,
2173, 690301, 1,
2173, 350504, 2,
2174, 690301, 1,
2174, 660104, 5,
2174, 660206, 1,
2174, 660302, 3,
2174, 350508, 2,
2174, 350310, 1,
2174, 660405, 2,
2175, 350508, 1,
2175, 660403, 1,
2177, 660104, 2,
2177, 660206, 1,
2177, 660302, 1,
2178, 660104, 1,
2296, 660504, 1,
2617, 690301, 1,
2617, 660104, 1,
2617, 660302, 2,
2617, 350508, 1,
2617, 350310, 1,
2801, 660104, 2,
2801, 660302, 2,
2801, 350508, 3,
2801, 660210, 2,
2801, 660403, 1,
2801, 350310, 2,
2801, 660405, 3,
2801, 660504, 1,
2801, 660506, 2,
2801, 660508, 1,
2801, 660510, 2,
1266, 660104, 1,
1269, 350101, 1,
1269, 660206, 1,
1269, 660403, 1,
1269, 350310, 1,
1269, 660506, 1,
1288, 660504, 1,
1288, 660510, 1,
1682, 660104, 1,
1682, 660403, 1,
1687, 660206, 1,
1687, 660403, 1,
1690, 350508, 3,
1690, 660210, 1,
1692, 660104, 2,
1692, 660206, 1,
1692, 660210, 2,
1796, 350504, 1,
1796, 660206, 1,
1796, 660403, 1,
1796, 660508, 1,
1798, 660504, 1,
1798, 660510, 1,
1799, 660302, 1,
1799, 660210, 1,
1894, 660508, 1,
1899, 660405, 1,
1903, 690301, 1,
1903, 350508, 1,
1903, 660405, 1,
1903, 660504, 2,
1903, 660510, 1,
1917, 350101, 1,
1917, 690301, 1,
1917, 660104, 1,
1917, 660206, 1,
1917, 660302, 2,
1917, 350310, 1,
1919, 350101, 1,
2161, 690301, 1,
2161, 350504, 1,
2161, 660405, 2,
2161, 660506, 1,
2163, 350504, 2,
2163, 660206, 1,
2163, 660210, 1,
2167, 660210, 1,
2167, 660403, 1,
2167, 660405, 1,
2167, 660510, 1,
2173, 350504, 2,
2173, 660403, 1,
2173, 660405, 1,
2174, 350101, 2,
2174, 660104, 1,
2174, 350504, 2,
2174, 350508, 1,
2174, 660210, 2,
2174, 660403, 6,
2175, 350508, 2,
2175, 660405, 1,
2178, 660104, 1,
2617, 690301, 2,
2617, 660104, 1,
2617, 660206, 1,
2617, 660210, 2,
2617, 350310, 1,
2617, 660504, 1,
2801, 350101, 2,
2801, 660104, 1,
2801, 350504, 4,
2801, 660206, 1,
2801, 350508, 2,
2801, 660210, 3,
2801, 660403, 3,
2801, 350310, 4,
2801, 660405, 1,
2801, 660504, 3,
2801, 660506, 1,
1269, 350504, 1,
1269, 660302, 2,
1269, 660210, 1,
1269, 660405, 2,
1288, 660403, 1,
1682, 660104, 1,
1687, 350504, 2,
1687, 660302, 1,
1687, 660403, 1,
1690, 660104, 3,
1690, 350504, 1,
1690, 660302, 1,
1692, 690301, 2,
1796, 350508, 1,
1796, 660405, 1,
1799, 660504, 1,
1895, 660302, 1,
1895, 350310, 1,
1899, 350504, 1,
1899, 660302, 2,
1899, 660405, 1,
1903, 690301, 1,
1903, 660206, 3,
1903, 660504, 2,
1903, 660506, 1,
1903, 660508, 2,
1917, 350101, 1,
1917, 690301, 1,
1917, 660104, 3,
1917, 660210, 2,
1917, 660403, 1,
1917, 350310, 1,
1917, 660504, 1,
1919, 660302, 1,
2159, 350504, 1,
2159, 660206, 1,
2159, 660302, 1,
2161, 350101, 1,
2161, 350504, 1,
2163, 660104, 1,
2163, 350504, 2,
2167, 660206, 1,
2167, 350310, 1,
2167, 660508, 1,
2173, 660302, 2,
2173, 660403, 2,
2174, 350101, 6,
2174, 660104, 2,
2174, 660302, 2,
2174, 350508, 3,
2174, 660210, 1,
2174, 350310, 2,
2174, 660405, 1,
2175, 350504, 1,
2175, 350508, 1,
2177, 350101, 2,
2177, 660104, 1,
2177, 350504, 2,
2177, 660210, 1,
2177, 660405, 2,
2178, 350101, 1,
2178, 660104, 1,
2178, 660506, 1,
2617, 690301, 1,
2617, 350504, 1,
2617, 660206, 1,
2617, 660210, 2,
2617, 350310, 2,
2617, 660508, 1,
2801, 660104, 1,
2801, 350504, 4,
2801, 660206, 1,
2801, 660302, 2,
2801, 350508, 2,
