1250, 660401, 1,
1510, 420101, 1,
1620, 420101, 1,
1624, 420102, 2,
1883, 660401, 5,
1883, 420101, 3,
1887, 420101, 1,
1987, 420101, 1,
2095, 420101, 1,
2136, 420102, 1,
2137, 660401, 1,
2303, 660401, 2,
2303, 350911, 2,
2342, 660401, 1,
2703, 660401, 3,
2703, 420101, 3,
2703, 420102, 3,
1231, 420102, 1,
1389, 420102, 1,
1398, 420101, 1,
1520, 420101, 1,
1620, 420102, 1,
1630, 420101, 2,
1633, 660401, 1,
1883, 420101, 14,
1883, 420102, 1,
1883, 350911, 1,
1887, 420102, 3,
1987, 420101, 1,
1987, 420102, 1,
2095, 420101, 1,
2132, 660401, 1,
2132, 350911, 1,
2135, 420101, 1,
2136, 420102, 1,
2303, 420102, 3,
2303, 350911, 2,
2703, 660401, 5,
2703, 420101, 1,
2703, 420102, 4,
1520, 660401, 1,
1624, 420101, 1,
1671, 660401, 1,
1883, 420101, 9,
1883, 350911, 1,
1987, 420101, 1,
2095, 350911, 3,
2137, 660401, 1,
2376, 660401, 1,
2376, 420101, 1,
2703, 660401, 3,
2703, 420101, 4,
2703, 350911, 4,
1389, 660401, 1,
1883, 420101, 10,
1887, 420101, 1,
2137, 660401, 1,
2303, 420101, 2,
2342, 660401, 4,
2703, 660401, 1,
1231, 420102, 1,
1389, 420102, 1,
1520, 660401, 5,
1620, 660401, 1,
1620, 420102, 2,
1624, 660401, 2,
1624, 420101, 1,
1883, 420101, 17,
1987, 420101, 2,
1987, 420102, 4,
2136, 660401, 1,
2303, 420102, 1,
2376, 420101, 2,
2376, 350911, 1,
2703, 660401, 2,
2703, 420101, 2,
2703, 420102, 4,
1620, 660401, 1,
1620, 420102, 2,
1624, 420102, 1,
1633, 420101, 2,
1883, 660401, 7,
1883, 420101, 10,
1883, 350911, 1,
2095, 420101, 1,
2135, 420101, 1,
2136, 420102, 1,
2703, 660401, 2,
2703, 420101, 3,
2703, 420102, 2,
2703, 350911, 1,
2739, 420101, 1,
1389, 420101, 1,
1629, 660401, 1,
1633, 420101, 7,
1883, 420101, 12,
1883, 420102, 1,
1883, 350911, 1,
2095, 420102, 3,
2135, 420101, 1,
2136, 420102, 1,
2342, 350911, 1,
2376, 660401, 1,
2703, 660401, 4,
2703, 420102, 2,
1250, 660401, 1,
1389, 420102, 1,
1395, 660401, 1,
1520, 420102, 1,
1620, 660401, 1,
1620, 420102, 1,
1624, 660401, 1,
1624, 420102, 1,
1624, 350911, 2,
1625, 660401, 1,
1630, 420101, 1,
1883, 420101, 10,
1883, 420102, 1,
1883, 350911, 1,
1887, 660401, 1,
2056, 420102, 1,
2095, 420101, 2,
2136, 420102, 2,
2303, 420101, 1,
2303, 350911, 1,
2342, 660401, 1,
2703, 660401, 2,
2703, 420102, 6,
2703, 350911, 1,
1389, 420102, 1,
1520, 420101, 1,
1620, 420102, 2,
1624, 420102, 2,
1630, 660401, 1,
1883, 420101, 20,
1887, 420102, 1,
1987, 420101, 1,
2095, 420101, 1,
2135, 420101, 1,
2136, 420101, 1,
2136, 420102, 1,
2376, 420101, 1,
2703, 660401, 3,
2703, 350911, 6,
1395, 660401, 1,
1620, 420101, 1,
1620, 420102, 2,
1624, 660401, 2,
1624, 420102, 1,
1633, 420101, 2,
1883, 660401, 2,
1883, 420101, 19,
1885, 350911, 4,
1887, 420101, 1,
2136, 420102, 1,
2376, 420101, 1,
2512, 660401, 1,
2703, 420101, 4,
2703, 420102, 2,
2703, 350911, 2,
1987, 660401, 1,
2095, 350911, 2,
2703, 350911, 1,
1393, 420102, 1,
1620, 420101, 1,
1620, 420102, 1,
1624, 660401, 1,
1624, 420102, 1,
1633, 420101, 5,
1883, 420101, 14,
1883, 350911, 1,
1887, 660401, 2,
1987, 420101, 1,
2095, 420102, 1,
2135, 420101, 1,
2342, 420101, 1,
2703, 420101, 1,
2703, 420102, 1,
2703, 350911, 2,
2739, 420101, 1,
1250, 660401, 1,
1389, 420101, 1,
1520, 420101, 2,
1620, 660401, 2,
1620, 420102, 1,
1624, 660401, 2,
1624, 420101, 1,
1624, 350911, 2,
1625, 660401, 2,
1883, 420101, 6,
1883, 420102, 2,
1883, 350911, 2,
1987, 420102, 1,
2095, 420101, 1,
2132, 660401, 1,
2136, 420102, 1,
2137, 660401, 1,
2303, 420102, 1,
2342, 660401, 3,
2703, 420101, 2,
2703, 420102, 4,
2703, 350911, 5,
1620, 660401, 1,
1620, 420102, 1,
1624, 420102, 1,
1633, 420101, 2,
1671, 420101, 2,
1883, 660401, 1,
1883, 420101, 14,
1883, 350911, 1,
2095, 420101, 2,
2135, 420101, 1,
2137, 660401, 1,
2373, 660401, 1,
2703, 660401, 4,
2703, 420102, 4,
2703, 350911, 1,
