1681, 660207, 2,
1681, 660303, 3,
1681, 660505, 1,
1686, 660207, 1,
1686, 660213, 1,
1686, 660509, 1,
1688, 660505, 1,
1713, 660303, 3,
1713, 350509, 1,
1795, 350505, 2,
1795, 660213, 2,
1797, 350509, 2,
1800, 660505, 1,
1892, 660203, 1,
1892, 350505, 3,
1892, 660303, 1,
1892, 660505, 2,
1893, 660105, 1,
1893, 660207, 2,
1893, 660213, 2,
1893, 660505, 1,
1900, 660213, 1,
1900, 350312, 3,
1916, 660505, 1,
1921, 350509, 1,
1922, 660509, 1,
2162, 660207, 1,
2164, 660105, 1,
2170, 350505, 1,
2170, 660207, 1,
2171, 660105, 1,
2172, 350505, 1,
2551, 660105, 2,
2667, 350312, 1,
2704, 660203, 4,
2704, 660105, 2,
2704, 350505, 3,
2704, 660207, 3,
2704, 350509, 5,
2704, 660213, 6,
2704, 350312, 5,
2704, 660505, 3,
2704, 660507, 4,
2704, 660509, 5,
2728, 350509, 1,
1685, 660105, 2,
1686, 350302, 1,
1686, 660505, 1,
1688, 660101, 1,
1688, 660303, 1,
1688, 350509, 1,
1688, 350312, 1,
1713, 660203, 1,
1713, 660105, 1,
1713, 660207, 1,
1795, 660213, 1,
1797, 350302, 1,
1797, 660303, 2,
1800, 350302, 1,
1800, 660501, 2,
1892, 350302, 1,
1892, 660207, 1,
1892, 660505, 2,
1892, 660507, 1,
1893, 660101, 1,
1893, 350302, 1,
1893, 660303, 1,
1893, 660213, 1,
1893, 660507, 1,
1896, 350505, 1,
1916, 660501, 1,
1922, 660501, 1,
2158, 350505, 1,
2158, 660213, 1,
2171, 660213, 1,
2172, 660101, 1,
2172, 350302, 1,
2551, 660207, 1,
2667, 660105, 1,
2667, 660207, 1,
2667, 660501, 1,
2667, 660509, 2,
2704, 350302, 3,
2704, 660203, 4,
2704, 660105, 1,
2704, 350505, 1,
2704, 660207, 1,
2704, 660303, 2,
2704, 350509, 4,
2704, 660213, 4,
2704, 350312, 6,
2704, 660505, 10,
2704, 660507, 8,
2704, 660509, 9,
2728, 350302, 1,
2728, 350505, 1,
2728, 350509, 1,
2728, 660501, 1,
2728, 660213, 1,
2728, 660505, 1,
1685, 660101, 1,
1685, 660303, 4,
1686, 350302, 1,
1686, 660213, 1,
1688, 660105, 1,
1688, 350505, 3,
1713, 660203, 1,
1713, 660105, 1,
1713, 660303, 1,
1713, 350509, 2,
1713, 660501, 4,
1795, 350302, 1,
1795, 660207, 2,
1795, 660303, 2,
1795, 660213, 1,
1795, 660505, 1,
1795, 660507, 1,
1795, 660509, 2,
1797, 350302, 1,
