1795, 660211, 1,
1800, 660211, 1,
1802, 660211, 4,
1893, 660211, 2,
1916, 660211, 1,
2162, 660211, 1,
2704, 660211, 6,
1681, 660211, 1,
1795, 660211, 1,
1802, 660211, 3,
1893, 660211, 4,
2164, 660211, 1,
2704, 660211, 5,
2728, 660211, 1,
1693, 660211, 1,
1797, 660211, 1,
1800, 660211, 1,
1802, 660211, 4,
1893, 660211, 1,
2171, 660211, 1,
2704, 660211, 12,
1681, 660211, 3,
1693, 660211, 1,
1800, 660211, 2,
1802, 660211, 2,
1893, 660211, 4,
1900, 660211, 2,
1916, 660211, 2,
2667, 660211, 1,
2704, 660211, 5,
1686, 660211, 1,
1713, 660211, 1,
1800, 660211, 1,
2170, 660211, 1,
2704, 660211, 5,
1795, 660211, 1,
1892, 660211, 1,
1921, 660211, 1,
2171, 660211, 1,
2667, 660211, 1,
2704, 660211, 2,
2728, 660211, 1,
1795, 660211, 2,
1893, 660211, 2,
2171, 660211, 1,
2704, 660211, 5,
1685, 660211, 2,
1893, 660211, 7,
2160, 660211, 1,
2164, 660211, 1,
2171, 660211, 2,
2704, 660211, 10,
1688, 660211, 1,
1713, 660211, 1,
1795, 660211, 1,
1893, 660211, 2,
1916, 660211, 1,
2704, 660211, 4,
1683, 660211, 1,
1713, 660211, 1,
1893, 660211, 3,
2667, 660211, 1,
2704, 660211, 6,
2728, 660211, 1,
1795, 660211, 1,
1797, 660211, 1,
1800, 660211, 1,
1802, 660211, 3,
1893, 660211, 2,
2160, 660211, 1,
2164, 660211, 1,
2704, 660211, 3,
2728, 660211, 1,
1713, 660211, 1,
1795, 660211, 2,
1802, 660211, 1,
1893, 660211, 3,
1916, 660211, 1,
2171, 660211, 2,
2704, 660211, 9,
1681, 660211, 2,
1800, 660211, 1,
1802, 660211, 8,
1893, 660211, 2,
2667, 660211, 1,
2704, 660211, 2,
1685, 660211, 1,
1713, 660211, 1,
1795, 660211, 1,
1802, 660211, 3,
1893, 660211, 2,
2158, 660211, 1,
2667, 660211, 1,
2704, 660211, 5,
1693, 660211, 1,
1802, 660211, 7,
1893, 660211, 2,
2171, 660211, 2,
2551, 660211, 2,
2667, 660211, 3,
2704, 660211, 3,
1267, 660211, 1,
1795, 660211, 2,
1802, 660211, 3,
1893, 660211, 2,
1896, 660211, 1,
2667, 660211, 1,
2704, 660211, 6,
2728, 660211, 1,
1795, 660211, 2,
1802, 660211, 8,
1893, 660211, 4,
1900, 660211, 1,
2704, 660211, 6,
1693, 660211, 1,
1802, 660211, 6,
1893, 660211, 7,
1916, 660211, 1,
2158, 660211, 1,
2164, 660211, 1,
2171, 660211, 1,
2704, 660211, 16,
2728, 660211, 3,
1686, 660211, 1,
1713, 660211, 1,
1795, 660211, 3,
1802, 660211, 3,
1892, 660211, 3,
1893, 660211, 3,
1900, 660211, 1,
2171, 660211, 1,
2667, 660211, 1,
2704, 660211, 11,
