stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,is_trans_ctr,at_trans_ctr,direction
1447R,1447,Freedom Blvd & Corralitos Rd,,36.963253,-121.809448,http://scmtd.com/stop/1447,0,0,1
1448R,1448,Freedom Blvd (Manns Apples),,36.960724,-121.806229,http://scmtd.com/stop/1448,0,0,2
1449R,1449,Freedom Blvd (Manns Apples),,36.960606,-121.806358,http://scmtd.com/stop/1449,0,0,1
1450R,1450,Freedom Blvd (Rider Apples),,36.947906,-121.790741,http://scmtd.com/stop/1450,0,0,2
1451R,1451,Freedom Blvd (Rider Apples),,36.948822,-121.792099,http://scmtd.com/stop/1451,0,0,1
1452R,1452,Freedom Blvd (Filipino Community Center),,36.946781,-121.789612,http://scmtd.com/stop/1452,0,0,2
1453R,1453,Freedom Blvd (Filipino Community Center),,36.946686,-121.789742,http://scmtd.com/stop/1453,0,0,1
1457R,1457,River & Front,,36.976315,-122.025482,http://scmtd.com/stop/1457,0,0,2
1458R,1458,Glen Arbor Rd & Hermosa Ave,,37.074276,-122.08252,http://scmtd.com/stop/1458,0,0,2
1459R,1459,Glen Arbor Rd & Hermosa Ave,,37.074192,-122.082664,http://scmtd.com/stop/1459,0,0,1
1460R,1460,Glen Arbor Rd & Azalea Ave,,37.075436,-122.080383,http://scmtd.com/stop/1460,0,0,2
1461R,1461,Glen Arbor Rd & Azalea Ave,,37.075413,-122.080284,http://scmtd.com/stop/1461,0,0,1
1462R,1462,Glen Arbor Rd & Pine,,37.088444,-122.084755,http://scmtd.com/stop/1462,0,0,1
1463R,1463,Glen Arbor Rd & Quail Hollow Rd,,37.078968,-122.077835,http://scmtd.com/stop/1463,0,0,1
1465R,1465,Glen Arbor Rd & River,,37.081215,-122.077965,http://scmtd.com/stop/1465,0,0,2
1466R,1466,Glen Arbor Rd & Madrone Ave,,37.083786,-122.081886,http://scmtd.com/stop/1466,0,0,2
1467R,1467,Glen Arbor Rd & Madrone Ave,,37.08408,-122.082275,http://scmtd.com/stop/1467,0,0,1
1468R,1468,Glen Arbor Rd & Hillcrest Ave,,37.085506,-122.083244,http://scmtd.com/stop/1468,0,0,1
1470R,1470,Glen Arbor Rd & Locust,,37.086823,-122.08387,http://scmtd.com/stop/1470,0,0,1
1471R,1471,Glen Arbor Rd & Hihn Rd,,37.078354,-122.079124,http://scmtd.com/stop/1471,0,0,2
1472R,1472,Glen Arbor Rd & Hihn Rd,,37.078114,-122.079514,http://scmtd.com/stop/1472,0,0,1
1474R,1474,Glen Arbor Rd & Riverside Ave,,37.088734,-122.087883,http://scmtd.com/stop/1474,0,0,2
1492R,1492,Graham Hill Rd & Covered Bridge Rd N,,37.052555,-122.072395,http://scmtd.com/stop/1492,0,0,2
1499R,1499,Grant (Grant Park),,36.985538,-122.021599,http://scmtd.com/stop/1499,0,0,1
1501R,1501,Hagar Dr (UCSC - East Remote Parking),,36.991314,-122.054665,http://scmtd.com/stop/1501,0,0,1
1505R,1505,Heller Dr (UCSC - Oakes College),,36.989944,-122.0672,http://scmtd.com/stop/1505,0,0,1
1509R,1509,Heller Dr & McLaughlin Dr (UCSC - Kresge College),,36.999287,-122.064552,http://scmtd.com/stop/1509,0,0,1
1510R,1510,High & Western Dr,,36.978645,-122.057823,http://scmtd.com/stop/1510,0,0,1
1512R,1512,High & Moore,,36.977596,-122.048607,http://scmtd.com/stop/1512,0,0,2
1513R,1513,High & Moore,,36.977859,-122.048325,http://scmtd.com/stop/1513,0,0,1
1515R,1515,High & Laurent,,36.977737,-122.042374,http://scmtd.com/stop/1515,0,0,1
1516R,1516,High & Highland,,36.977901,-122.033669,http://scmtd.com/stop/1516,0,0,1
1517R,1517,Highland Ave & Escalona Dr,,36.976994,-122.032921,http://scmtd.com/stop/1517,0,0,1
