VehicleId,VehicleName,DriverId,DriverFirstName,DriverLastName,RouteId,RouteName,PatternId,PatternName,StopId,StopName,StopNumber,Timepoint,TripId,TripName,RunId,RunName,BlockId,Arrive,Depart,DepartVariance,ScheduledDepart,Ons,Offs,ArrivalPassengers,VehicleCapacity,DeparturePassengers
5281,2333,15969,Operator,614,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747300,Coolidge Dr & Hagar Ct  (UCSC - Lower Campus),1342,FALSE,3313307,180216,371865,1802,297969,05/12/2022 00:09:56 -07:00,05/12/2022 00:10:08 -07:00,308,05/12/2022 00:05:00 -07:00,0,0,0,57,0
5281,2333,15969,Operator,614,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747879,Hagar Dr & Village Rd (UCSC - The Farm),2669,FALSE,3313307,180216,371865,1802,297969,05/12/2022 00:10:52 -07:00,05/12/2022 00:11:00 -07:00,360,05/12/2022 00:05:00 -07:00,0,0,0,57,0
5281,2333,15969,Operator,614,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747387,Hagar Dr (UCSC - East Remote Parking),1501,FALSE,3313307,180216,371865,1802,297969,05/12/2022 00:11:40 -07:00,05/12/2022 00:11:52 -07:00,412,05/12/2022 00:05:00 -07:00,0,0,0,57,0
5281,2333,15969,Operator,614,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747634,Hagar Dr (UCSC - East Field House),2101,FALSE,3313307,180216,371865,1802,297969,05/12/2022 00:12:16 -07:00,05/12/2022 00:12:24 -07:00,384,05/12/2022 00:06:00 -07:00,0,0,0,57,0
5281,2333,15969,Operator,614,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747635,"Hagar Dr (UCSC - Bookstore, Cowell & Stevenson)",2102,FALSE,3313307,180216,371865,1802,297969,05/12/2022 00:12:52 -07:00,05/12/2022 00:13:40 -07:00,460,05/12/2022 00:06:00 -07:00,0,0,0,57,0
5281,2333,15969,Operator,614,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747442,McLaughlin Dr (UCSC - Crown & Merrill College),1617,FALSE,3313307,180216,371865,1802,297969,05/12/2022 00:13:48 -07:00,05/12/2022 00:14:16 -07:00,436,05/12/2022 00:07:00 -07:00,0,0,0,57,0
5281,2333,15969,Operator,614,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747441,McLaughlin Dr (UCSC - College 9 & 10 / Health Ctr),1616,FALSE,3313307,180216,371865,1802,297969,05/12/2022 00:14:48 -07:00,05/12/2022 00:15:12 -07:00,312,05/12/2022 00:10:00 -07:00,0,0,0,57,0
5281,2333,15969,Operator,614,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747440,McLaughlin Dr (UCSC - Science Hill),1615,TRUE,3313307,180216,371865,1802,297969,05/12/2022 00:15:52 -07:00,05/12/2022 00:16:16 -07:00,196,05/12/2022 00:13:00 -07:00,0,0,0,57,0
5281,2333,15969,Operator,614,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747389,Heller Dr & McLaughlin Dr (UCSC - Kresge College),1509,FALSE,3313307,180216,371865,1802,297969,05/12/2022 00:16:32 -07:00,05/12/2022 00:17:00 -07:00,240,05/12/2022 00:13:00 -07:00,0,0,0,57,0
5281,2333,15969,Operator,614,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747779,Heller Dr (UCSC - Rachel Carson College & Porter),2448,FALSE,3313307,180216,371865,1802,297969,05/12/2022 00:18:28 -07:00,05/12/2022 00:19:04 -07:00,244,05/12/2022 00:15:00 -07:00,0,0,0,57,0
