1521, , 1,
1625, 350204, 2,
1987, 400104, 1,
2301, 400104, 1,
1521, 400102, 3,
1521, 400104, 1,
1987, 350204, 2,
1987, 400104, 2,
1521, 400102, 2,
1521, 400104, 3,
1625, 400104, 1,
1987, 400104, 1,
1521, 400102, 1,
1987, 350204, 4,
1987, 400104, 2,
1987, 350204, 3,
1987, 400104, 1,
1521, , 1,
1619, , 1,
2619, , 2,
1521, 400102, 2,
1521, 350204, 2,
1987, 350204, 1,
1987, 400104, 2,
2308, 350204, 1,
2618, 400102, 1,
1521, 400102, 1,
1987, 400104, 1,
1521, 400102, 2,
1619, 400104, 1,
1987, 400102, 1,
1987, 400104, 2,
1521, 400102, 3,
1521, 400104, 2,
1619, 400102, 1,
1619, 350204, 1,
1625, 350204, 1,
1987, 400104, 1,
2619, 400102, 2,
1619, 400102, 3,
1987, 400104, 2,
2619, 400102, 2,
1521, 400102, 3,
1619, 400102, 1,
1619, 400104, 1,
1987, 400104, 2,
1521, 400102, 3,
1619, 400102, 1,
1987, 400104, 2,
1521, 400102, 2,
1619, 400102, 3,
1625, 400104, 1,
1987, 400104, 1,
