VehicleId,VehicleName,DriverId,DriverFirstName,DriverLastName,RouteId,RouteName,PatternId,PatternName,StopId,StopName,StopNumber,Timepoint,TripId,TripName,RunId,RunName,BlockId,Arrive,ArriveVariance,ScheduledArrive,Depart,DepartVariance,ScheduledDepart,Ons,Offs,ArrivalPassengers,VehicleCapacity,DeparturePassengers
5254,1204,16024,Operator,530,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747448,Mission & Trescony,1625,False,3313276,155411,371863,1554,297967,04/23/2022 00:00:18 -07:00,-86202,04/23/2022 23:57:00 -07:00,04/23/2022 00:00:26 -07:00,-86194,04/23/2022 23:57:00 -07:00,0,0,0,39,0
5214,2217,23045,Operator,698,4367,35 - Highway 9/Scotts Valley,19268,35-19-90-Mtn Store/ CClub via Glen Arbor,4747254,Big Basin Way & Fallen Leaf Dr,1243,False,3313472,350217,371888,3502,297992,04/23/2022 00:00:29 -07:00,-86251,04/23/2022 23:58:00 -07:00,04/23/2022 00:00:33 -07:00,-86247,04/23/2022 23:58:00 -07:00,0,0,0,30,0
5254,1204,16024,Operator,530,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747449,Mission & Laurel,1629,False,3313276,155411,371863,1554,297967,04/23/2022 00:00:38 -07:00,-86242,04/23/2022 23:58:00 -07:00,04/23/2022 00:00:58 -07:00,-86222,04/23/2022 23:58:00 -07:00,0,0,0,39,0
5203,2224,23046,Operator,699,4353,71 - Soquel/Freedom,18652,71-02-38-Wats via Clifford,4747548,Soquel Dr & 41st Ave,1818,True,3313601,660511,371907,6605,298011,04/23/2022 00:00:39 -07:00,39,04/23/2022 00:00:00 -07:00,04/23/2022 00:01:51 -07:00,111,04/23/2022 00:00:00 -07:00,0,0,0,30,0
5272,1904,17868,Operator,674,4378,19 - UCSC via West Gate - Bay,16149,19-00-13-UCSC via Lower Bay,4747627,Bay & King,2056,False,3313344,190215,371868,1902,297972,04/23/2022 00:00:49 -07:00,-11,04/23/2022 00:01:00 -07:00,04/23/2022 00:01:45 -07:00,45,04/23/2022 00:01:00 -07:00,0,0,0,39,0
5233,1903,15982,Operator,618,4353,71 - Soquel/Freedom,18653,71-03-40-SC via Clifford,4747536,Soquel Ave & 7th Ave,1803,False,3313686,710511,371916,7105,298020,04/23/2022 00:00:57 -07:00,57,04/23/2022 00:00:00 -07:00,04/23/2022 00:01:05 -07:00,65,04/23/2022 00:00:00 -07:00,0,0,0,39,0
5263,2812,17870,Operator,676,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747447,Mission & Olive,1624,True,3313307,180216,371865,1802,297969,04/23/2022 00:01:10 -07:00,10,04/23/2022 00:01:00 -07:00,04/23/2022 00:01:18 -07:00,18,04/23/2022 00:01:00 -07:00,0,0,0,39,0
5233,1903,15982,Operator,618,4353,71 - Soquel/Freedom,18653,71-03-40-SC via Clifford,4747534,Soquel Ave & La Fonda Ave,1801,False,3313686,710511,371916,7105,298020,04/23/2022 00:01:33 -07:00,33,04/23/2022 00:01:00 -07:00,04/23/2022 00:02:05 -07:00,65,04/23/2022 00:01:00 -07:00,0,0,0,39,0
5214,2217,23045,Operator,698,4367,35 - Highway 9/Scotts Valley,19268,35-19-90-Mtn Store/ CClub via Glen Arbor,4747778,Big Basin Way (Country Club),2445,True,3313472,350217,371888,3502,297992,04/23/2022 00:01:42 -07:00,102,04/23/2022 00:00:00 -07:00,04/23/2022 00:01:48 -07:00,108,04/23/2022 00:00:00 -07:00,0,0,0,30,0
5263,2812,17870,Operator,676,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747444,Mission & Miramar Dr (Almar Shopping Ctr),1620,False,3313307,180216,371865,1802,297969,04/23/2022 00:01:42 -07:00,42,04/23/2022 00:01:00 -07:00,04/23/2022 00:01:58 -07:00,58,04/23/2022 00:01:00 -07:00,0,0,0,39,0
